web-scraper-order,web-scraper-start-url,link,link-href,Harga,Lokasi,Kecamatan,KamarTidur,KamarMandi,Luas Tanah(m²),Luas Bangunan(m²),Nama Perumahan,Sertifikat_,Daya Listrik (Watt),Jumlah Lantai,Carport,Garasi,Interior,Orientasi Bangunan,AC,Kolam Renang,TV Kabel,Internet,Keamanan 24 jam,Dekat Jalan Raya,Masuk Mobil,Dekat Kawasan Bisnis,Dekat Stasiun,Dekat Rumah Sakit,Bebas Banjir,Taman,Jogging Track,Pusat Kebugaran,Akses Jalan Tol,Pusat Bisnis,Dekat Pusat Perbelanjaan,Dekat Sekolah,Dekat Tempat Ibadah,Kids Playground
1713196085-21,https://www.99.co/id/jual/rumah/tangerang-selatan?hlmn=100,NEW MENTENG RUMAH SULTAN DI GADING SERPONG,https://www.99.co/id/properti/rumah-dijual-4-95mily-serpong-995310439,4950000000,"New Menteng, Serpong, Tangerang Selatan",4,3,3,180,217,New Menteng,1,4400.0,2,2.0,2.0,2,,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,1,1,1,0
1713196091-22,https://www.99.co/id/jual/rumah/tangerang-selatan?hlmn=100,NEW MENTENG RUMAH PALING LARIS DI GADING SERPONG,https://www.99.co/id/properti/rumah-dijual-5-02mily-serpong-922482063,5020000000,"New Menteng, Serpong, Tangerang Selatan",4,3,3,180,217,New Menteng,1,4400.0,2,2.0,2.0,2,,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,1,1,1,0
1713196098-23,https://www.99.co/id/jual/rumah/tangerang-selatan?hlmn=100,NEW MENTENG RUMAH MEWAH DI GADING SERPONG,https://www.99.co/id/properti/rumah-dijual-5-01mily-serpong-397664560,5010000000,"New Menteng, Serpong, Tangerang Selatan",4,3,3,170,217,New Menteng,1,4400.0,2,2.0,2.0,2,,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,1,1,1,0
1713196105-24,https://www.99.co/id/jual/rumah/tangerang-selatan?hlmn=100,NEW MENTENG CLUB HOUSE MEWAH RUMAH 2 LANTAI DI GADING SERPONG,https://www.99.co/id/properti/rumah-dijual-4-92mily-serpong-tk-185237253,4920000000,"New Menteng, Serpong, Tangerang Selatan",4,3,3,180,217,New Menteng,1,4400.0,2,1.0,1.0,2,,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,1,1,1,0
1713196115-25,https://www.99.co/id/jual/rumah/tangerang-selatan?hlmn=100,NEW MENTENG RUMAH MEWAH DI GADING SERPONG TANGERANG,https://www.99.co/id/properti/rumah-dijual-5-01mily-serpong-397422712,5010000000,"New Menteng, Serpong, Tangerang Selatan",4,3,3,180,217,New Menteng,1,4400.0,2,2.0,2.0,2,,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,1,1,1,0
1713196126-26,https://www.99.co/id/jual/rumah/tangerang-selatan?hlmn=100,NEW MENTENG RUMAH CANGGIH DI SERPONG,https://www.99.co/id/properti/rumah-dijual-4-95mily-serpong-144880320,4950000000,"New Menteng, Serpong, Tangerang Selatan",4,3,3,180,217,New Menteng,1,4400.0,2,2.0,2.0,2,,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,1,1,1,0
1713196131-27,https://www.99.co/id/jual/rumah/tangerang-selatan?hlmn=100,RUMAH SULTAN DI GADING SERPONG NEW MENTENG,https://www.99.co/id/properti/rumah-dijual-5-04mily-serpong-765535925,5040000000,"New Menteng, Serpong, Tangerang Selatan",4,3,3,180,217,New Menteng,1,4400.0,2,2.0,2.0,2,,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,1,1,1,0
1713196140-28,https://www.99.co/id/jual/rumah/tangerang-selatan?hlmn=100,NEW MENTENG RUMAH BEBAS BANJIR DI GADING SERPONG,https://www.99.co/id/properti/rumah-dijual-4-93mily-serpong-978857652,4930000000,"New Menteng, Serpong, Tangerang Selatan",4,3,3,180,217,New Menteng,1,4400.0,2,1.0,1.0,2,,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,1,1,1,0
1713196148-29,https://www.99.co/id/jual/rumah/tangerang-selatan?hlmn=100,NEW MENTENG DP 15% - KPR DIGADING SERPONG,https://www.99.co/id/properti/rumah-dijual-5-03mily-serpong-668811910,5030000000,"New Menteng, Serpong, Tangerang Selatan",4,3,3,180,217,New Menteng,1,4400.0,2,2.0,2.0,2,,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,1,1,1,0
1713196153-30,https://www.99.co/id/jual/rumah/tangerang-selatan?hlmn=100,CLUSTER NEW MENTENG DEKAT MALL SUMMARECON,https://www.99.co/id/properti/rumah-dijual-4-9mily-serpong-masuk-561136888,4900000000,"New Menteng, Serpong, Tangerang Selatan",4,3,3,180,217,New Menteng,1,4400.0,2,2.0,2.0,2,,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,1,1,1,0
1713196164-31,https://www.99.co/id/jual/rumah/tangerang-selatan?hlmn=100,NEW MENTENG DEKAT UNIVERSITAS UMN GADING SERPONG,https://www.99.co/id/properti/rumah-dijual-5-01mily-serpong-284007514,5010000000,"New Menteng, Serpong, Tangerang Selatan",4,3,3,180,217,New Menteng,1,4400.0,2,2.0,2.0,2,,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,1,1,1,0
1713196174-32,https://www.99.co/id/jual/rumah/tangerang-selatan?hlmn=100,NEW MENTENG DESAIN DETACHED GADING SERPONG,https://www.99.co/id/properti/rumah-dijual-4-96mily-serpong-294316544,4960000000,"New Menteng, Serpong, Tangerang Selatan",4,3,3,180,217,New Menteng,1,4400.0,2,2.0,2.0,2,,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,1,1,1,0
1713196186-33,https://www.99.co/id/jual/rumah/tangerang-selatan?hlmn=100,NEW MENTENG RUMAH DP 15% KPR GADING SERPONG,https://www.99.co/id/properti/rumah-dijual-5-02mily-serpong-238931250,5020000000,"New Menteng, Serpong, Tangerang Selatan",4,3,3,180,217,New Menteng,1,4400.0,2,2.0,2.0,2,,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,1,1,1,0
1713196191-34,https://www.99.co/id/jual/rumah/tangerang-selatan?hlmn=100,NEW MENTENG RUMAH MEWAH 2 LANTAI DI GADING SERPONG,https://www.99.co/id/properti/rumah-dijual-4-09mily-serpong-338810532,4090000000,"New Menteng, Serpong, Tangerang Selatan",4,3,3,180,217,New Menteng,1,4400.0,2,2.0,2.0,2,,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,1,1,1,0
1713196195-35,https://www.99.co/id/jual/rumah/tangerang-selatan?hlmn=100,NEW MENTENG RUMAH 2LANTAI BEBAS BANJIR,https://www.99.co/id/properti/rumah-dijual-5-01mily-serpong-366854580,5010000000,"New Menteng, Serpong, Tangerang Selatan",4,3,3,180,217,New Menteng,1,4400.0,2,2.0,2.0,2,,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,1,1,1,0
1713196206-36,https://www.99.co/id/jual/rumah/tangerang-selatan?hlmn=100,NEW MENTENG RUMAH SULTAN DI GADING SERPONG,https://www.99.co/id/properti/rumah-dijual-4-92mily-serpong-527667036,4920000000,"New Menteng, Serpong, Tangerang Selatan",4,3,3,180,217,New Menteng,1,4400.0,2,2.0,2.0,2,,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,1,1,1,0
1713196217-37,https://www.99.co/id/jual/rumah/tangerang-selatan?hlmn=100,NEW MENTENG RUMAH 2 LANTAI BEBAS BANJIR,https://www.99.co/id/properti/rumah-dijual-5-02mily-serpong-454375367,5020000000,"New Menteng, Serpong, Tangerang Selatan",4,3,3,180,217,New Menteng,1,4400.0,2,2.0,2.0,2,,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,1,1,1,0
1713196225-38,https://www.99.co/id/jual/rumah/tangerang-selatan?hlmn=100,NEW MENTENG RUMAH 2 LANTAI PREMIUM BEBAS BANJIR,https://www.99.co/id/properti/rumah-dijual-5-03mily-serpong-tk-878316420,4930000000,"New Menteng, Serpong, Tangerang Selatan",4,3,3,180,217,New Menteng,1,4400.0,2,2.0,2.0,2,,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,1,1,1,0
1713196235-39,https://www.99.co/id/jual/rumah/tangerang-selatan?hlmn=100,NEW MENTENG RUMAH MODERN TROPIS BEBAS BANJIR,https://www.99.co/id/properti/rumah-dijual-5-02mily-serpong-524843816,5020000000,"New Menteng, Serpong, Tangerang Selatan",4,3,3,180,217,New Menteng,1,4400.0,2,2.0,2.0,2,,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,1,1,1,0
1713196246-40,https://www.99.co/id/jual/rumah/tangerang-selatan?hlmn=100,NEW MENTENG RUMAH 2 LANTAI BEBAS BANJIR,https://www.99.co/id/properti/rumah-dijual-4-92mily-serpong-186973214,4920000000,"New Menteng, Serpong, Tangerang Selatan",4,3,3,180,217,New Menteng,1,4400.0,2,2.0,2.0,2,,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,1,1,1,0
1713196259-61,https://www.99.co/id/jual/rumah/tangerang-selatan?hlmn=99,NEW MENTENG INFO RUMAH DI GADING SERPONG,https://www.99.co/id/properti/rumah-dijual-5-02mily-serpong-844213951,5020000000,"New Menteng, Serpong, Tangerang Selatan",4,3,3,180,217,New Menteng,1,4400.0,2,1.0,1.0,2,,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,1,1,1,0
1713196264-62,https://www.99.co/id/jual/rumah/tangerang-selatan?hlmn=99,NEW MENTENG RUMAH MEWAH DI SCBD GADING SERPONG,https://www.99.co/id/properti/rumah-dijual-5-02mily-serpong-952879470,4910000000,"New Menteng, Serpong, Tangerang Selatan",4,3,3,180,217,New Menteng,1,4400.0,2,2.0,2.0,2,,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,1,1,1,0
1713196337-75,https://www.99.co/id/jual/rumah/tangerang-selatan?hlmn=99,NEW MENTENG RUMAH MEWAH DI PARAMOUNT LAND,https://www.99.co/id/properti/rumah-dijual-4-91mily-serpong-sd-370152990,4910000000,"New Menteng, Serpong, Tangerang Selatan",4,3,3,180,217,New Menteng,1,4400.0,2,2.0,2.0,2,,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,1,1,1,0
1713196272-64,https://www.99.co/id/jual/rumah/tangerang-selatan?hlmn=99,NEW MENTENG RUMAH MEWAH DI GADING SERPONG,https://www.99.co/id/properti/rumah-dijual-5-01mily-serpong-333871010,5010000000,"New Menteng, Serpong, Tangerang Selatan",4,3,3,180,217,New Menteng,1,4400.0,2,2.0,2.0,2,,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,1,1,1,0
1713196276-65,https://www.99.co/id/jual/rumah/tangerang-selatan?hlmn=99,NEW MENTENG RUMAH MEWAH DI PARAMOUNT LAND,https://www.99.co/id/properti/rumah-dijual-4-92mily-serpong-kpr-399805619,4920000000,"New Menteng, Serpong, Tangerang Selatan",4,3,3,180,217,New Menteng,1,4400.0,2,1.0,1.0,2,,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,1,1,1,0
1713196287-66,https://www.99.co/id/jual/rumah/tangerang-selatan?hlmn=99,NEW MENTENG RUMAH MEWAH 2LANTAI DI GADING SERPONG,https://www.99.co/id/properti/rumah-dijual-5-04mily-serpong-468809113,5040000000,"New Menteng, Serpong, Tangerang Selatan",4,3,3,180,217,New Menteng,1,4400.0,2,1.0,1.0,2,,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,1,1,1,0
1713196297-67,https://www.99.co/id/jual/rumah/tangerang-selatan?hlmn=99,NEW MENTENG LOKASI STATEGIS BEBAS BANJIR,https://www.99.co/id/properti/rumah-dijual-5-01mily-serpong-166010778,5010000000,"New Menteng, Serpong, Tangerang Selatan",4,3,3,180,217,New Menteng,1,4400.0,2,1.0,1.0,2,,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,1,1,1,0
1713196302-68,https://www.99.co/id/jual/rumah/tangerang-selatan?hlmn=99,NEW MENTENG RUMAH MEWAH DI GADING SERPONG,https://www.99.co/id/properti/rumah-dijual-5-01mily-serpong-239620008,5010000000,"New Menteng, Serpong, Tangerang Selatan",4,3,3,180,217,New Menteng,1,4400.0,2,2.0,2.0,2,,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,1,1,1,0
1713196307-69,https://www.99.co/id/jual/rumah/tangerang-selatan?hlmn=99,NEW MENTENG RUMAH MEWAH DI GADING SERPONG,https://www.99.co/id/properti/rumah-dijual-4-91mily-serpong-779662585,4910000000,"New Menteng, Serpong, Tangerang Selatan",4,3,3,170,217,New Menteng,1,4400.0,2,2.0,2.0,2,,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,1,1,1,0
1713196317-70,https://www.99.co/id/jual/rumah/tangerang-selatan?hlmn=99,NEW MENTENG RUMAH KONSEP AMERICAN CLASSIC DI GADING SERPONG,https://www.99.co/id/properti/rumah-dijual-5-02mily-serpong-272482339,5020000000,"New Menteng, Serpong, Tangerang Selatan",4,2,2,180,217,New Menteng,1,4400.0,2,2.0,2.0,2,,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,1,1,1,0
1713196321-71,https://www.99.co/id/jual/rumah/tangerang-selatan?hlmn=99,NEW MENTENG RUMAH PALING CANGGIH DI GADING SERPONG,https://www.99.co/id/properti/rumah-dijual-4-91mily-serpong-741108440,4910000000,"New Menteng, Serpong, Tangerang Selatan",4,3,3,170,217,New Menteng,1,4400.0,2,2.0,2.0,2,,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,1,1,1,0
1713196326-72,https://www.99.co/id/jual/rumah/tangerang-selatan?hlmn=99,NEW MENTENG RUMAH DEKAT SUMMARECON DAN BSD CITY,https://www.99.co/id/properti/rumah-dijual-5-02mily-serpong-sd-502437696,5020000000,"New Menteng, Serpong, Tangerang Selatan",4,3,3,180,217,New Menteng,1,4400.0,2,2.0,2.0,2,,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,1,1,1,0
1713196330-73,https://www.99.co/id/jual/rumah/tangerang-selatan?hlmn=99,NEW MENTENG RUMAH SIAP BANGUN DI GADING SERPONG,https://www.99.co/id/properti/rumah-dijual-4-92mily-serpong-siap-686941183,4920000000,"New Menteng, Serpong, Tangerang Selatan",4,3,3,180,217,New Menteng,1,4400.0,2,2.0,2.0,2,,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,1,1,1,0
1713196334-74,https://www.99.co/id/jual/rumah/tangerang-selatan?hlmn=99,NEW METENG RUMAH 2 LANTAI SIAP BANGUN,https://www.99.co/id/properti/rumah-dijual-5-01mily-serpong-470971485,5010000000,"New Menteng, Serpong, Tangerang Selatan",4,3,3,180,217,New Menteng,1,4400.0,2,2.0,2.0,2,,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,1,1,1,0
1713196337-75,https://www.99.co/id/jual/rumah/tangerang-selatan?hlmn=99,NEW MENTENG RUMAH MEWAH DI PARAMOUNT LAND,https://www.99.co/id/properti/rumah-dijual-4-91mily-serpong-sd-370152990,4910000000,"New Menteng, Serpong, Tangerang Selatan",4,3,3,180,217,New Menteng,1,4400.0,2,1.0,1.0,2,,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,1,1,1,0
1713196342-76,https://www.99.co/id/jual/rumah/tangerang-selatan?hlmn=99,NEW MENTENG PARAMOUNT LAND,https://www.99.co/id/properti/rumah-dijual-4-92mily-serpong-316827581,4920000000,"New Menteng, Serpong, Tangerang Selatan",4,3,3,180,217,New Menteng,1,4400.0,2,1.0,1.0,2,,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,1,1,1,0
1713196352-77,https://www.99.co/id/jual/rumah/tangerang-selatan?hlmn=99,NEW MENTENG BISA BAYAR CHAS BERTAHAP,https://www.99.co/id/properti/rumah-dijual-4-95mily-serpong-968793187,4950000000,"New Menteng, Serpong, Tangerang Selatan",4,3,3,180,217,New Menteng,1,4400.0,2,2.0,2.0,2,,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,1,1,1,0
1713196363-78,https://www.99.co/id/jual/rumah/tangerang-selatan?hlmn=99,NEW MENTENG DETACHED RUMAH MEWAH 2 LANTAI,https://www.99.co/id/properti/rumah-dijual-5-18mily-serpong-930224817,5180000000,"New Menteng, Serpong, Tangerang Selatan",4,3,3,180,217,New Menteng,1,4400.0,2,2.0,2.0,2,,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,1,1,1,0
1713196373-79,https://www.99.co/id/jual/rumah/tangerang-selatan?hlmn=99,NEW MENTENG SPECIAL RUMAH 2 LANTAI SIAP BANGUN,https://www.99.co/id/properti/rumah-dijual-4-92mily-serpong-885721117,4920000000,"New Menteng, Serpong, Tangerang Selatan",4,3,3,180,217,New Menteng,1,4400.0,2,2.0,2.0,2,,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,1,1,1,0
1713196378-80,https://www.99.co/id/jual/rumah/tangerang-selatan?hlmn=99,PENAWARAN RUMAH NEW MENTENG PARAMOUNT LAND,https://www.99.co/id/properti/rumah-dijual-4-92mily-serpong-437507869,4920000000,"New Menteng, Serpong, Tangerang Selatan",4,3,3,180,217,New Menteng,1,4400.0,2,1.0,1.0,2,,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,1,1,1,0
1713196390-101,https://www.99.co/id/jual/rumah/tangerang-selatan?hlmn=98,NEW MENTENG RUMAH 2 LANTAI DI PARAMOUNT,https://www.99.co/id/properti/rumah-dijual-5-01mily-serpong-229598707,5010000000,"New Menteng, Serpong, Tangerang Selatan",4,3,3,180,217,New Menteng,1,4400.0,2,1.0,1.0,2,,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,1,1,1,0
1713196396-102,https://www.99.co/id/jual/rumah/tangerang-selatan?hlmn=98,NEW MENTENG 5 MENIT KE BERSAIDA PARAMOUNT,https://www.99.co/id/properti/rumah-dijual-5-01mily-serpong-701551051,5010000000,"New Menteng, Serpong, Tangerang Selatan",4,3,3,180,217,New Menteng,1,4400.0,2,1.0,1.0,2,,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,1,1,1,0
1713196401-103,https://www.99.co/id/jual/rumah/tangerang-selatan?hlmn=98,HOT NEW MENTENG RUMAH SULTAN DI PARAMOUNT,https://www.99.co/id/properti/rumah-dijual-4-21mily-serpong-863928235,4910000000,"New Menteng, Serpong, Tangerang Selatan",4,3,3,180,217,New Menteng,1,4400.0,2,1.0,1.0,2,,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,1,1,1,0
1713196406-104,https://www.99.co/id/jual/rumah/tangerang-selatan?hlmn=98,NEW MENTENG RUMAH MEWAH DI GADING SERPONG,https://www.99.co/id/properti/rumah-dijual-5-01mily-serpong-896944882,5010000000,"New Menteng, Serpong, Tangerang Selatan",4,3,3,180,217,New Menteng,1,4400.0,2,2.0,2.0,2,,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,1,1,1,0
1713196410-105,https://www.99.co/id/jual/rumah/tangerang-selatan?hlmn=98,PROMO NEW MENTENG RESIDENCE PARAMOUNT,https://www.99.co/id/properti/rumah-dijual-4-92mily-serpong-641734176,4920000000,"New Menteng, Serpong, Tangerang Selatan",4,3,3,180,217,New Menteng,1,4400.0,2,1.0,1.0,2,,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,1,1,1,0
1713196417-106,https://www.99.co/id/jual/rumah/tangerang-selatan?hlmn=98,PRICE LIST NEW MENTENG DI GADING SERPONG,https://www.99.co/id/properti/rumah-dijual-5-01mily-serpong-735568339,5010000000,"New Menteng, Serpong, Tangerang Selatan",4,3,3,180,217,New Menteng,1,4400.0,2,1.0,1.0,2,,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,1,1,1,0
1713196423-107,https://www.99.co/id/jual/rumah/tangerang-selatan?hlmn=98,NEW MENTENG TIPE RUMAH BARU DI GADING SERPONG,https://www.99.co/id/properti/rumah-dijual-5-01mily-serpong-471858918,5010000000,"New Menteng, Serpong, Tangerang Selatan",4,3,3,180,217,New Menteng,1,4400.0,2,1.0,1.0,2,,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,1,1,1,0
1713196434-108,https://www.99.co/id/jual/rumah/tangerang-selatan?hlmn=98,HARGA JUAL RUMAH DI NEW MENTENG PRAMOUNT LAND,https://www.99.co/id/properti/rumah-dijual-5-01mily-serpong-one-715444698,5010000000,"New Menteng, Serpong, Tangerang Selatan",4,3,3,180,217,New Menteng,1,4400.0,2,2.0,2.0,2,,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,1,1,1,0
1713196438-109,https://www.99.co/id/jual/rumah/tangerang-selatan?hlmn=98,NEW MENTENG VILLAGE RUMAH PALING MURAH DI GADING SERPONG,https://www.99.co/id/properti/rumah-dijual-4-92mily-serpong-163744431,4920000000,"New Menteng, Serpong, Tangerang Selatan",4,3,3,180,217,New Menteng,1,4400.0,2,2.0,2.0,2,,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,1,1,1,0
1713196443-110,https://www.99.co/id/jual/rumah/tangerang-selatan?hlmn=98,DIJUAL RUMAH NEW MENTENG PARAMOUNT LAND,https://www.99.co/id/properti/rumah-dijual-5-03mily-serpong-258661393,5030000000,"New Menteng, Serpong, Tangerang Selatan",4,3,3,180,217,New Menteng,1,4400.0,2,2.0,2.0,2,,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,1,1,1,0
1713196449-111,https://www.99.co/id/jual/rumah/tangerang-selatan?hlmn=98,RUMAH MEWAH NEW MENTENG PARAMOUNT LAND,https://www.99.co/id/properti/rumah-dijual-4-96mily-serpong-413612310,4960000000,"New Menteng, Serpong, Tangerang Selatan",4,3,3,180,217,New Menteng,1,4400.0,2,2.0,2.0,2,,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,1,1,1,0
1713196460-112,https://www.99.co/id/jual/rumah/tangerang-selatan?hlmn=98,PROMO NEW MENTENG RUMAH PREMIUM DI TANGERANG,https://www.99.co/id/properti/rumah-dijual-5-01trily-serpong-536853794,5010000000,"New Menteng, Serpong, Tangerang Selatan",4,3,3,180,217,New Menteng,1,4400.0,2,2.0,2.0,2,,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,1,1,1,0
1713196472-113,https://www.99.co/id/jual/rumah/tangerang-selatan?hlmn=98,PARAMOUNT RUMAH PREMIUM DI GADING SERPONG NEW MENTENG,https://www.99.co/id/properti/rumah-dijual-4-92mily-serpong-210306173,4920000000,"New Menteng, Serpong, Tangerang Selatan",4,3,3,180,217,New Menteng,1,4400.0,2,2.0,2.0,2,,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,1,1,1,0
1713196476-114,https://www.99.co/id/jual/rumah/tangerang-selatan?hlmn=98,NEW MENTENG RUMAH RESIDENCE SIAP BANGUN,https://www.99.co/id/properti/rumah-dijual-4-92mily-serpong-sd-123923865,4920000000,"New Menteng, Serpong, Tangerang Selatan",4,3,3,180,217,New Menteng,1,4400.0,2,2.0,2.0,2,,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,1,1,1,0
1713196486-115,https://www.99.co/id/jual/rumah/tangerang-selatan?hlmn=98,NEW MENTENG RUMAH MEWAH DI KAWASAN GADING SERPONG,https://www.99.co/id/properti/rumah-dijual-5-01mily-serpong-one-779386814,5010000000,"New Menteng, Serpong, Tangerang Selatan",4,3,3,180,217,New Menteng,1,4400.0,2,2.0,2.0,2,,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,1,1,1,0
1713196495-116,https://www.99.co/id/jual/rumah/tangerang-selatan?hlmn=98,PRICE LIST DAN HARGA NEW MENTENG PARAMOUNT,https://www.99.co/id/properti/rumah-dijual-5-04mily-serpong-432008441,5040000000,"New Menteng, Serpong, Tangerang Selatan",4,3,3,180,217,New Menteng,1,4400.0,2,2.0,2.0,2,,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,1,1,1,0
1713196499-117,https://www.99.co/id/jual/rumah/tangerang-selatan?hlmn=98,NEW MENTENG HOT RUMAH 2 LANTAI PALING LARIS,https://www.99.co/id/properti/rumah-dijual-4-92mily-serpong-511626900,4920000000,"New Menteng, Serpong, Tangerang Selatan",4,3,3,180,217,New Menteng,1,4400.0,2,2.0,2.0,2,,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,1,1,1,0
1713196510-118,https://www.99.co/id/jual/rumah/tangerang-selatan?hlmn=98,NEW MENTENG RUMAH PALING HOKI DI GADING SERPONG,https://www.99.co/id/properti/rumah-dijual-4-92mily-serpong-881596307,4920000000,"New Menteng, Serpong, Tangerang Selatan",4,3,3,180,217,New Menteng,1,4400.0,2,2.0,2.0,2,,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,1,1,1,0
1713196520-119,https://www.99.co/id/jual/rumah/tangerang-selatan?hlmn=98,NEW MENTENG RUMAH DESAIN PALING MEWAH DI GADING SERPONG,https://www.99.co/id/properti/rumah-dijual-5-01mily-serpong-989437215,5010000000,"New Menteng, Serpong, Tangerang Selatan",4,3,3,180,217,New Menteng,1,4400.0,2,2.0,2.0,2,,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,1,1,1,0
1713196532-120,https://www.99.co/id/jual/rumah/tangerang-selatan?hlmn=98,NEW MENTENG DEKAT MATANA UNIVERSITY GADING SERPONG,https://www.99.co/id/properti/rumah-dijual-5-01mily-serpong-396488484,5010000000,"New Menteng, Serpong, Tangerang Selatan",4,3,3,180,217,New Menteng,1,4400.0,2,2.0,2.0,2,,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,1,1,1,0
1713196546-141,https://www.99.co/id/jual/rumah/tangerang-selatan?hlmn=97,NEW MENTENG BERLOKASI STRATEGIS DAN BEBAS BANJIR,https://www.99.co/id/properti/rumah-dijual-4-92mily-serpong-kpr-111858277,4920000000,"New Menteng, Serpong, Tangerang Selatan",4,3,3,180,217,New Menteng,1,4400.0,2,1.0,1.0,2,,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,1,1,1,0
1713196558-142,https://www.99.co/id/jual/rumah/tangerang-selatan?hlmn=97,DIJUAL NEW MENTENG VILLAGE RESIDENCE UKURAN 12mx15m,https://www.99.co/id/properti/rumah-dijual-5-01mily-serpong-938946152,5010000000,"New Menteng, Serpong, Tangerang Selatan",4,3,3,180,217,New Menteng,1,4400.0,2,2.0,2.0,2,,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,1,1,1,0
1713196568-143,https://www.99.co/id/jual/rumah/tangerang-selatan?hlmn=97,NEW MENTENG RUMAH MEWAH 4 KAMAR TIDUR SIAP BANGUN,https://www.99.co/id/properti/rumah-dijual-5-01mily-serpong-400256893,5010000000,"New Menteng, Serpong, Tangerang Selatan",4,3,3,180,217,New Menteng,1,4400.0,2,2.0,2.0,2,,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,1,1,1,0
1713196571-144,https://www.99.co/id/jual/rumah/tangerang-selatan?hlmn=97,NEW MENTENG RUMAH 2 LANTAI FASILITAS LENGKAP BISA KPR,https://www.99.co/id/properti/rumah-dijual-4-96mily-serpong-160502077,4960000000,"New Menteng, Serpong, Tangerang Selatan",4,3,3,180,217,New Menteng,1,4400.0,2,2.0,2.0,2,,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,1,1,1,0
